code,value
002506.SZ,55.32
002507.SZ,65.93
002508.SZ,79.01
002510.SZ,8.09
002511.SZ,72.23
002512.SZ,28.74
002513.SZ,59.31
002514.SZ,21.46
002515.SZ,42.88
002516.SZ,16.42
002517.SZ,18.7
002518.SZ,63.1
002519.SZ,33.9
002520.SZ,54.54
002521.SZ,9.4
002522.SZ,1.49
002523.SZ,39.47
002524.SZ,29.15
002526.SZ,0.57
002527.SZ,0.08
002528.SZ,54.38
002529.SZ,27.92
002530.SZ,41.52
002531.SZ,70.61
002532.SZ,22.28
002533.SZ,31.01
002534.SZ,78.9
002535.SZ,0.85
002536.SZ,41.65
002537.SZ,64.49
002538.SZ,41.24
002539.SZ,28.69
002540.SZ,13.92
002541.SZ,19.87
002542.SZ,46.89
002543.SZ,46.68
002544.SZ,52.32
002545.SZ,16.28
002546.SZ,47.13
002547.SZ,0.66
002548.SZ,40.72
002549.SZ,71.98
002550.SZ,0.42
002551.SZ,12.1
002552.SZ,45.75
002553.SZ,1.64
002554.SZ,14.01
002555.SZ,39.12
002556.SZ,44.05
002557.SZ,74.14
002558.SZ,79.9
002559.SZ,20.08
002560.SZ,5.46
002561.SZ,44.81
002562.SZ,1.35
002563.SZ,27.61
002564.SZ,30.57
002565.SZ,24
002566.SZ,0.58
002567.SZ,49.64
002568.SZ,29.79
002569.SZ,37.07
002570.SZ,56.35
002571.SZ,21.17
002572.SZ,46.61
002573.SZ,53.93
002574.SZ,52.9
002575.SZ,37.02
002576.SZ,30.55
002577.SZ,61.73
002578.SZ,10.54
002579.SZ,55.57
002580.SZ,8.23
002581.SZ,1.88
002582.SZ,23.45
002583.SZ,27.17
002584.SZ,7.01
002585.SZ,23.14
002586.SZ,44.68
002587.SZ,8.18
002588.SZ,2.11
002589.SZ,25.26
002590.SZ,51.85
002591.SZ,0.03
002592.SZ,3.54
002593.SZ,0.01
002594.SZ,37.49
002595.SZ,16.31
002596.SZ,12.51
002597.SZ,61.08
002598.SZ,36.74
002599.SZ,10.58
002600.SZ,36.3
002601.SZ,20.9
002602.SZ,57.09
002603.SZ,44.93
002605.SZ,7.81
002606.SZ,1.7
002607.SZ,28.66
002608.SZ,80.47
002609.SZ,32.59
002610.SZ,22.24
002611.SZ,12.73
002612.SZ,11.85
002613.SZ,0.02
002614.SZ,12.78
002615.SZ,5.44
002616.SZ,25.76
002617.SZ,37.84
002618.SZ,32.07
002619.SZ,42.17
002620.SZ,32.91
002621.SZ,34.63
002622.SZ,28.85
002623.SZ,49.55
002624.SZ,78.53
